店铺名称,店铺具体地址,店铺具体坐标.纬度,店铺具体坐标.经度,店铺所在地区,店铺所在城市,店铺所在省份,店铺类别
冷记卤品(丰泽园店),丰泽园生鲜市场1F-08号,30.660745,114.222609,东西湖区,武汉市,湖北省,餐饮服务;餐饮相关场所;餐饮相关
崔哥鑫福缘餐厅(丰泽园店),马池北路万丰丰泽园菜场1号门店,30.660249,114.222398,东西湖区,武汉市,湖北省,餐饮服务;中餐厅;中餐厅
渝味轩小馆,美联奥林匹克花园一期二区10栋一层,30.653332,114.234314,东西湖区,武汉市,湖北省,餐饮服务;中餐厅;中餐厅
重庆怪味黑鸭(金银湖店),环湖路丰泽园生鲜市场1F-32号,30.660839,114.222576,东西湖区,武汉市,湖北省,餐饮服务;餐饮相关场所;餐饮相关
紫燕百味鸡(武汉丰泽园店),金银湖办事处环湖中路22号丰泽园生鲜市场1F-12号门面,30.660748,114.222531,东西湖区,武汉市,湖北省,餐饮服务;餐饮相关场所;餐饮相关
慷馨鸭(丰泽园店),金银湖环湖中路170号附29号,30.660889,114.222518,东西湖区,武汉市,湖北省,餐饮服务;餐饮相关场所;餐饮相关
思午味猪角大王(丰泽园店),马池西路与马池北路交叉口北20米,30.660761,114.222398,东西湖区,武汉市,湖北省,餐饮服务;餐饮相关场所;餐饮相关
夏记牛肉面,美联·奥林匹克花园西北2门旁,30.65305,114.234208,东西湖区,武汉市,湖北省,餐饮服务;快餐厅;快餐厅
鲜羊肉吊锅(金湖苑小区店),马池西路与二号路交叉口西北40米,30.658011,114.221918,东西湖区,武汉市,湖北省,餐饮服务;中餐厅;中餐厅
火尧火考(金湖苑小区店),金湖苑小区,30.657941,114.221902,东西湖区,武汉市,湖北省,餐饮服务;中餐厅;中餐厅
老汉口牛杂面(金湖苑小区店),金苑街7号附162号,30.658845,114.221896,东西湖区,武汉市,湖北省,餐饮服务;快餐厅;快餐厅
胖子酸菜鱼(金湖苑小区店),李家墩社区金湖苑东门东北60米,30.659124,114.221914,东西湖区,武汉市,湖北省,餐饮服务;中餐厅;中餐厅
楚媳妇,常青北路与奥园路交叉口南260米,30.652998,114.234187,东西湖区,武汉市,湖北省,餐饮服务;中餐厅;中餐厅
倾城螺小仙螺蛳粉(轻工大学店),悦尚美食汇8号档口,30.657012,114.222035,东西湖区,武汉市,湖北省,餐饮服务;中餐厅;中餐厅
李富贵和刘桂香的伤心牛腩煲(金银潭店),金银潭北、机场路以东美联奥林匹克花园一期三区20栋1层商5,30.654576,114.236004,东西湖区,武汉市,湖北省,餐饮服务;中餐厅;中餐厅
小毛驴烧烤大排档(金湖苑小区店),金银湖街道金湖苑16-89号商铺,30.659261,114.221907,东西湖区,武汉市,湖北省,餐饮服务;中餐厅;中餐厅
热干牛肉面(金湖苑小区店),马池西路与二号路交叉口西北80米,30.65841,114.221809,东西湖区,武汉市,湖北省,餐饮服务;餐饮相关场所;餐饮相关
兰州拉面(武汉东西湖区),奥园西路2号一期二区11栋商3号,30.653013,114.234306,东西湖区,武汉市,湖北省,餐饮服务;中餐厅;清真菜馆
仔锅串烧(金湖苑小区店),马池西路金湖苑小区,30.658761,114.221763,东西湖区,武汉市,湖北省,餐饮服务;中餐厅;中餐厅
一根筋牛腩煲,金银潭奥林匹克花园一期20栋商5,30.654229,114.235938,东西湖区,武汉市,湖北省,餐饮服务;中餐厅;中餐厅
沙县小吃(和田门诊店),李家墩社区金湖苑东门旁,30.658787,114.221665,东西湖区,武汉市,湖北省,餐饮服务;中餐厅;特色/地方风味餐厅
吸猫体质咖啡馆,美联·奥林匹克花园1期1区2栋1-2层3号,30.652376,114.234072,东西湖区,武汉市,湖北省,体育休闲服务;娱乐场所;酒吧|餐饮服务;咖啡厅;咖啡厅
俭让老妈砂锅串串(金银潭店),美联奥林匹克花园商业街2栋商5,30.652327,114.234038,东西湖区,武汉市,湖北省,餐饮服务;中餐厅;火锅店
有间烤吧(美联店),美联奥林匹克花园1期2栋商铺6号,30.652251,114.23405,东西湖区,武汉市,湖北省,餐饮服务;中餐厅;中餐厅
巴比馒头(奥园东路店),奥园东路5号,30.654161,114.236631,东西湖区,武汉市,湖北省,餐饮服务;快餐厅;快餐厅
CoCo都可茶饮,外环东路与外环北路交叉口南100米,30.654184,114.2226,东西湖区,武汉市,湖北省,餐饮服务;冷饮店;冷饮店
老汉口地道湖北菜,马池中路汉口印象1期,30.656557,114.221321,东西湖区,武汉市,湖北省,餐饮服务;中餐厅;中餐厅
叫了只炸鸡(金银潭店),美联奥林匹克花园二期29幢1层,30.654075,114.236591,东西湖区,武汉市,湖北省,餐饮服务;快餐厅;快餐厅
武汉轻工大学金银湖校区金湖餐厅,环湖中路182号武汉轻工大学金银湖校区,30.65396,114.222739,东西湖区,武汉市,湖北省,餐饮服务;中餐厅;中餐厅
米掌门煲仔饭(轻工食堂店),马池中路9号轻工大学内金湖餐厅,30.653832,114.222823,东西湖区,武汉市,湖北省,餐饮服务;中餐厅;中餐厅
老曹煎包,美联·奥林匹克花园4号门西南110米,30.651879,114.233777,东西湖区,武汉市,湖北省,餐饮服务;中餐厅;中餐厅
香脆鸡扒饭(轻工大学金湖餐厅店),金银湖马池中路(轻工大学内),30.653944,114.222687,东西湖区,武汉市,湖北省,餐饮服务;中餐厅;中餐厅
武汉轻工大学金银湖校区银湖餐厅,轻工大学金银湖校区,30.65516,114.221817,东西湖区,武汉市,湖北省,餐饮服务;中餐厅;中餐厅
品味老汉口,马池中路9号汉口印象A5栋,30.656544,114.221221,东西湖区,武汉市,湖北省,餐饮服务;中餐厅;中餐厅
市井炸烫屋-美联店,美联奥林匹克一期,30.651894,114.233931,东西湖区,武汉市,湖北省,餐饮服务;餐饮相关场所;餐饮相关
金盛园老菜馆,奥园西路2号美联奥林匹克花园一期一区3栋1-2层,30.651873,114.233959,东西湖区,武汉市,湖北省,餐饮服务;中餐厅;中餐厅
红张飞·中国炸鸡,二号路与马池西路交叉口西140米,30.657262,114.220783,东西湖区,武汉市,湖北省,餐饮服务;快餐厅;快餐厅
金银角山味馆,常青花园马池八队常青村72号,30.664041,114.235684,东西湖区,武汉市,湖北省,餐饮服务;中餐厅;中餐厅
武汉轻工大学中快餐饮,内环路与积学路交叉口西北160米,30.653785,114.22254,东西湖区,武汉市,湖北省,餐饮服务;快餐厅;快餐厅
新襄记,东西湖马池轻工大学,30.655052,114.221581,东西湖区,武汉市,湖北省,餐饮服务;中餐厅;中餐厅
北京烤鸭,常青北路与金银潭大道交叉口东北320米,30.651978,114.234657,东西湖区,武汉市,湖北省,餐饮服务;中餐厅;特色/地方风味餐厅
醉美水乡(金银潭店),将军路街道奥园西路2号美联奥林匹克花园四期7栋单元1-2层商1号,30.655208,114.238135,东西湖区,武汉市,湖北省,餐饮服务;中餐厅;中餐厅
蜀汁记石锅饭(轻工大学金湖餐厅店),金银湖马池中路轻工大学内,30.653602,114.222102,东西湖区,武汉市,湖北省,餐饮服务;中餐厅;中餐厅
香帅宴·张之洞爱吃的湘楚民间菜,马池中路9号汉口印象7号楼,30.656252,114.220531,东西湖区,武汉市,湖北省,餐饮服务;中餐厅;湖南菜(湘菜)
牛骨面,奥园东路与奥园路交叉口西南60米,30.655036,114.238293,东西湖区,武汉市,湖北省,餐饮服务;中餐厅;中餐厅
汉马哥,奥园东路与奥园路交叉口南60米,30.654976,114.2383,东西湖区,武汉市,湖北省,餐饮服务;中餐厅;中餐厅
